Clapeyron Database File,,,,,,,,,,
SAFTVRMie Like Parameters,,,,,,,,,,
species,CAS Number,Mw,segment,sigma,epsilon,lambda_r,lambda_a,n_H,n_e,source

SCN,2.5422,58.08,2.3976,1.7885,362.91,12,6,0,0,PE_sound_rho_3_anion.jl
BF4,2.5690,86.81,2.4519,1.9432,356.57,12,6,0,0,PE_sound_rho_1_2ions.jl
PF6,2.9110,144.96,3.1446,2.3692,275.66,12,6,0,0,PE_sound_rho_3_anion.jl
TFO,3.0383,149.07,3.4024,2.5767,245.54,12,6,0,0,PE_sound_rho_3_anion.jl
C2MIM,3.3423,111.17,4.0181,3.8053,420.00,12,6,0,0,PE_sound_rho_2_cation.jl
C4MIM,3.6272,139.22,4.5951,3.9104,420.00,12,6,0,0,PE_sound_rho_1_2ions.jl
C6MIM,3.8760,167.27,5.0990,4.0130,420.00,12,6,0,0,PE_sound_rho_2_cation.jl
C8MIM,4.0944,195.32,5.5413,4.1049,420.00,12,6,0,0,PE_sound_rho_2_cation.jl

-BF4,4.6690,86.81,2.4518,1.8822,356.59,12,6,0,0,CORRELATION
C5MIM,5.8537,153.24,4.8512,3.9657,420.00,12,6,0,0,CORRELATION


methanol,887,32.042,1.7989,3.1425,276.92,16.968,6,1,2,2015_Dufal_2023_Novak
ethanol,702,46.069,1.6539,3.685,299.2,15.4738,6,1,1,https://doi.org/10.1016/j.fluid.2022.113618



C4MIM_Cp,3.6272,139.22,19.9999,5.6876,150.00,12,6,0,0,PE_Cp_rho_1.jl
BF4_Cp,2.5690,86.81,11.9952,5.1927,286.06,12,6,0,0,PE_Cp_rho_1.jl





acetone_original,Javad,58.08,3.1098,3.1620,216.914,10.1632,6,0,0,Javad
acetone,test,58.08,2.7904,3.2583,226.58,10.1632,6,0,0,Javad
2_acetone,Javad,58.08,2.7980,3.2551,226.26,10.1632,6,0,0,PE_test1








CA,HBD,172.26,3.5354,3.7714,429.68,16,6,1,1,SAFTVRMie_0A_IC
TBACl,HBA_1,277.91,3.7977,4.5331,424.20,16,6,1,1,SAFTVRMie_0A_IC
MTACl,HBA_2,404.15,3.9661,5.4835,444.72,16,6,0,0,SAFTVRMie_0A_IC
MTABr,HBA_3,448.60,3.5847,5.6934,451.89,16,6,0,0,SAFTVRMie_0A_IC
TOACl,HBA_4,502.35,4.7653,5.5988,430.69,16,6,0,0,SAFTVRMie_0A_IC
TOABr,HBA_5,546.80,4.6438,5.6843,454.33,16,6,0,0,SAFTVRMie_0A_IC

TBACl_CA_2,des05,207.48,2.3998,5.1931,420,16,6,1,0,SAFTVRMie_1A
MTACl_CA_2,des06,243.56,2.7998,5.2570,420,16,6,1,0,SAFTVRMie_1A
MTABr_CA_2,des07,264.37,2.9099,5.2502,420,16,6,1,0,SAFTVRMie_1A
TOACl_CA_2,des08,282.29,3.7423,5.0486,420,16,6,1,0,SAFTVRMie_1A
TOABr_CA_2,des09,297.11,3.6943,5.0794,420,16,6,1,0,SAFTVRMie_1A

ChCl1_EG2,DES01,87.92,2.8288,3.5103,500.00,16,6,0,0,PE-pure.jl

CO2_unified,124-38-9,44.01,1.6936,3.0465,235.73,18.067,6,0,0,Table7_DOI_10.1080/00268976.2015.1029027

CO2_Dufal2015,124-38-9,44.01,1.6936,3.0465,235.73,18.067,6,0,0,Table7_DOI_10.1080/00268976.2015.1029027



Ch_Ala,il01,192.26,2.6469,4.6118,405.43,10,6,0,0,SAFTVRMie_0A
Ch_,il01,104.17,4.6827,2.2543,400.00,12,6,0,0,SAFTVRMie_0A
_Ala,il01,89.09,5.3642,3.4157,400.00,12,6,0,0,SAFTVRMie_0A
ChAla,il01,192.26,4.7857,3.9223,400.0,12,6,1,1,SAFTVRMie_Pedro
ChAla_m,il01,192.26,4.6837,3.9223,400.0,12,6,1,1,SAFTVRMie_Pedro
ChAla_m1,il01,192.26,4.9190,3.9223,400.0,12,6,1,1,SAFTVRMie_Pedro
ChAla_m15,il01,192.26,4.6837,3.9223,400.0,12,6,1,1,SAFTVRMie_Pedro
ChAla_m8,il01,192.26,4.7858,3.9223,400.0,12,6,1,1,SAFTVRMie_Pedro




oTBACl,1,92.64,5.8795,3.3038,359.91,12,6,0,0,test_elec
oCA2,1,114.84,4.0830,3.1288,334.79,12,6,0,0,test_elec

TBACl,1,92.64,4.3783,3.9541,393.19,12,6,0,0,test_elec
CA2,1,114.84,3.4649,2.7475,328.86,12,6,0,0,test_elec


water_ours,7732-18-5,18.01,1.0000,0.0101,319.41,17.0,6.0,2.0,2.0,PE_water.jl



methane,,16.04,1.0,3.737,152.58,12.504,6.0,0.0,0.0,10.1016/j.fluid.2015.12.044
ethane,,30.07,1.4373,3.7257,206.12,12.4,6.0,0.0,0.0,10.1063/1.4819786
propane~|~n-propane,,44.1,1.6845,3.9056,239.89,13.006,6.0,0.0,0.0,10.1063/1.4819786
butane~|~n-butane,,58.12,1.8514,4.0887,273.64,13.65,6.0,0.0,0.0,10.1063/1.4819786
pentane~|~n-pentane,,72.15,1.9606,4.2928,321.94,15.847,6.0,0.0,0.0,10.1063/1.4819786
hexane~|~n-hexane,,86.177,2.1097,4.423,354.38,17.203,6.0,0.0,0.0,10.1063/1.4819786
heptane~|~n-heptane,,100.204,2.3949,4.4282,358.51,17.092,6.0,0.0,0.0,10.1063/1.4819786
octane~|~n-octane,,114.231,2.6253,4.4696,369.18,17.378,6.0,0.0,0.0,10.1063/1.4819786
nonane~|~n-nonane,,128.258,2.8099,4.5334,387.55,18.324,6.0,0.0,0.0,10.1063/1.4819786
decane~|~n-decane,,142.285,2.9976,4.589,400.79,18.885,6.0,0.0,0.0,10.1063/1.4819786
dodecane~|~n-dodecane,,156.312,3.2519,4.7484,437.72,20.862,0.0,0.0,6.0,10.1063/1.4819786
pentadecane~|~n-pentadecane,,212.421,3.9325,4.7738,444.51,20.822,6.0,0.0,0.0,10.1063/1.4819786
eicosane~|~n-eicosane,,282.5475,4.8794,4.8788,475.76,22.926,6.0,,,10.1063/1.4819786
r14~|~perfluoromethane~|~tetrafluoromethane~|~carbon tetrafluoride,,88.003,1.0,4.3372,232.62,42.553,5.1906,0.0,0.0,10.1063/1.4819786
r116~|~perfluoroethane~|~hexafluoroethane,,138.01,1.8529,3.9336,211.46,19.192,5.7506,0.0,0.0,10.1063/1.4819786
r218~|~perfluoropropane~|~octafluoropropane,,188.017,1.9401,4.2983,263.26,22.627,5.7506,0.0,0.0,10.1063/1.4819786
perfluorobutane~|~decafluorobutane~|~n-perfluorobutane,,238.024,2.1983,4.4495,290.49,24.761,5.7506,0.0,0.0,10.1063/1.4819786
perfluoropentane~|~n-perfluoropentane~|~perfluoro-n-pentane,,288.031,2.3783,4.6132,328.56,29.75,5.7506,0.0,0.0,10.1063/1.4819786
perfluorohexane~|~n-perfluorohexane~|~perfluoro-n-hexane,,338.038,2.5202,4.7885,349.3,30.741,5.7506,0.0,0.0,10.1063/1.4819786
fluorine,,38.0,1.3211,2.9554,96.268,11.606,6.0,0.0,0.0,10.1063/1.4819786
carbon dioxide,,44.01,1.6936,3.05,207.89,26.408,5.055,1.0,0.0,10.1016/j.fluid.2015.12.044
carbon dioxide_lafitte,,44.01,1.5,3.1916,231.88,27.557,5.1646,1.0,0.0,10.1063/1.4819786
benzene,,78.11,1.9163,4.0549,372.59,14.798,6.0,0.0,0.0,10.1063/1.4819786
toluene,,92.14,1.9977,4.2777,409.73,16.334,6.0,0.0,0.0,10.1063/1.4819786
water,7732-18-5,18.01,1.0,3.0063,266.68,17.02,6.0,2.0,2.0,10.1080/00268976.2015.1029027
methanol_origin,000,32.042,1.67034,3.2462,307.69,19.235,6.0,1.0,2.0,10.1021/je500248h
ethanol_origin,000,46.069,1.96,3.4914,168.15,7.6134,6.0,1.0,1.0,10.1063/1.4819786
propanol~|~1-propanol~|~propan-1-ol,,60.096,2.3356,3.5612,227.66,10.179,6.0,1.0,1.0,10.1063/1.4819786
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,,74.123,2.4377,3.7856,278.92,11.66,6.0,1.0,1.0,10.1063/1.4819786
helium~|~helium-4,,4.0,1.0,3.353,4.44,14.84,6.0,0.0,0.0,
sodium,,22.99,1.0,2.3200,31.709,12.000,6.0,0.0,0.0,
chloride,000,35.45,1.0,3.3400,113.76,12.000,6.0,0.0,0.0,
